state,year,lawtotal
Alabama,1991,15
Alabama,1992,16
Alabama,1993,16
Alabama,1994,16
Alabama,1995,16
Alabama,1996,16
Alabama,1997,16
Alabama,1998,16
Alabama,1999,16
Alabama,2000,11
Alabama,2001,11
Alabama,2002,11
Alabama,2003,11
Alabama,2004,11
Alabama,2005,11
Alabama,2006,11
Alabama,2007,11
Alabama,2008,11
Alabama,2009,11
Alabama,2010,11
Alabama,2011,11
Alabama,2012,10
Alabama,2013,10
Alabama,2014,10
Alabama,2015,10
Alabama,2016,10
Alabama,2017,10
Alabama,2018,10
Alabama,2019,10
Alabama,2020,10
Alaska,1991,10
Alaska,1992,11
Alaska,1993,11
Alaska,1994,8
Alaska,1995,8
Alaska,1996,8
Alaska,1997,8
Alaska,1998,8
Alaska,1999,7
Alaska,2000,7
Alaska,2001,7
Alaska,2002,7
Alaska,2003,4
Alaska,2004,4
Alaska,2005,4
Alaska,2006,4
Alaska,2007,4
Alaska,2008,4
Alaska,2009,4
Alaska,2010,4
Alaska,2011,4
Alaska,2012,4
Alaska,2013,3
Alaska,2014,3
Alaska,2015,3
Alaska,2016,3
Alaska,2017,3
Alaska,2018,3
Alaska,2019,3
Alaska,2020,3
Arizona,1991,12
Arizona,1992,12
Arizona,1993,13
Arizona,1994,11
Arizona,1995,12
Arizona,1996,12
Arizona,1997,12
Arizona,1998,12
Arizona,1999,11
Arizona,2000,13
Arizona,2001,13
Arizona,2002,13
Arizona,2003,13
Arizona,2004,13
Arizona,2005,13
Arizona,2006,13
Arizona,2007,13
Arizona,2008,13
Arizona,2009,13
Arizona,2010,8
Arizona,2011,8
Arizona,2012,8
Arizona,2013,8
Arizona,2014,8
Arizona,2015,8
Arizona,2016,8
Arizona,2017,8
Arizona,2018,8
Arizona,2019,8
Arizona,2020,8
Arkansas,1991,15
Arkansas,1992,15
Arkansas,1993,14
Arkansas,1994,14
Arkansas,1995,10
Arkansas,1996,10
Arkansas,1997,11
Arkansas,1998,11
Arkansas,1999,13
Arkansas,2000,13
Arkansas,2001,13
Arkansas,2002,13
Arkansas,2003,13
Arkansas,2004,13
Arkansas,2005,13
Arkansas,2006,13
Arkansas,2007,13
Arkansas,2008,13
Arkansas,2009,13
Arkansas,2010,13
Arkansas,2011,13
Arkansas,2012,13
Arkansas,2013,11
Arkansas,2014,11
Arkansas,2015,11
Arkansas,2016,11
Arkansas,2017,11
Arkansas,2018,11
Arkansas,2019,11
Arkansas,2020,11
California,1991,58
California,1992,57
California,1993,57
California,1994,69
California,1995,69
California,1996,69
California,1997,70
California,1998,70
California,1999,71
California,2000,85
California,2001,86
California,2002,93
California,2003,93
California,2004,93
California,2005,93
California,2006,93
California,2007,93
California,2008,93
California,2009,93
California,2010,93
California,2011,94
California,2012,95
California,2013,99
California,2014,100
California,2015,102
California,2016,104
California,2017,106
California,2018,109
California,2019,111
California,2020,111
Colorado,1991,9
Colorado,1992,9
Colorado,1993,9
Colorado,1994,10
Colorado,1995,11
Colorado,1996,11
Colorado,1997,11
Colorado,1998,11
Colorado,1999,11
Colorado,2000,12
Colorado,2001,16
Colorado,2002,16
Colorado,2003,17
Colorado,2004,17
Colorado,2005,17
Colorado,2006,17
Colorado,2007,17
Colorado,2008,17
Colorado,2009,17
Colorado,2010,17
Colorado,2011,17
Colorado,2012,17
Colorado,2013,30
Colorado,2014,30
Colorado,2015,30
Colorado,2016,30
Colorado,2017,30
Colorado,2018,30
Colorado,2019,32
Colorado,2020,32
Connecticut,1991,25
Connecticut,1992,26
Connecticut,1993,32
Connecticut,1994,55
Connecticut,1995,58
Connecticut,1996,58
Connecticut,1997,58
Connecticut,1998,60
Connecticut,1999,67
Connecticut,2000,67
Connecticut,2001,67
Connecticut,2002,68
Connecticut,2003,68
Connecticut,2004,69
Connecticut,2005,70
Connecticut,2006,70
Connecticut,2007,71
Connecticut,2008,71
Connecticut,2009,71
Connecticut,2010,71
Connecticut,2011,71
Connecticut,2012,71
Connecticut,2013,82
Connecticut,2014,83
Connecticut,2015,83
Connecticut,2016,88
Connecticut,2017,88
Connecticut,2018,88
Connecticut,2019,89
Connecticut,2020,89
Delaware,1991,11
Delaware,1992,13
Delaware,1993,13
Delaware,1994,19
Delaware,1995,20
Delaware,1996,20
Delaware,1997,20
Delaware,1998,21
Delaware,1999,23
Delaware,2000,23
Delaware,2001,23
Delaware,2002,24
Delaware,2003,23
Delaware,2004,23
Delaware,2005,23
Delaware,2006,23
Delaware,2007,24
Delaware,2008,25
Delaware,2009,25
Delaware,2010,25
Delaware,2011,25
Delaware,2012,25
Delaware,2013,36
Delaware,2014,37
Delaware,2015,37
Delaware,2016,38
Delaware,2017,39
Delaware,2018,41
Delaware,2019,41
Delaware,2020,41
Florida,1991,18
Florida,1992,19
Florida,1993,19
Florida,1994,21
Florida,1995,21
Florida,1996,21
Florida,1997,21
Florida,1998,22
Florida,1999,22
Florida,2000,22
Florida,2001,21
Florida,2002,21
Florida,2003,21
Florida,2004,22
Florida,2005,21
Florida,2006,21
