,rate_2005,rate_2014,rate_2015,rate_2016,rate_2017,rate_2018,rate_2019
Alaska,17.5,19.2,23.4,23.3,24.5,21,24.4
Alabama,16,16.9,19.6,21.5,22.9,21.8,22.2
Arkansas,15.7,16.6,16.9,17.8,20.3,18.9,19.3
Arizona,16.1,13.5,13.8,15.2,15.8,15.3,15.1
California,9.5,7.4,7.7,7.9,7.9,7.5,7.2
Colorado,11.6,12.2,12.6,14.3,13.4,15.2,14.2
Connecticut,5.3,5,5.3,4.6,5.1,4.9,5.3
Delaware,8.8,11.1,12.1,11,11.7,11.6,9.9
Florida,10,11.5,12,12.6,12.4,12.9,12.7
Georgia,12.1,13.7,14.1,15,15.4,15.7,15.8
Hawaii,2.1,2.6,3.6,4.5,2.5,4,4.4
Iowa,6.7,7.5,7.8,9.2,9,8.7,9.1
Idaho,14.1,13.2,14.7,14.6,16.4,16.6,14.2
Illinois,8,9,9.5,11.7,12.1,10.9,10.8
Indiana,11.2,12.4,12.7,15,15.3,14.7,14.1
Kansas,9.3,11.3,11.4,13.4,16,14.8,13.7
Kentucky,13,13.9,15.2,17.5,16.2,16.9,14.9
Louisiana,18.5,19,20.4,21.3,21.7,21.4,22.1
Massachusetts,3.4,3.2,3,3.4,3.7,3.5,3.4
Maryland,11.9,9,11.9,11.9,12.3,11.7,12.6
Maine,7.8,9.4,9.8,8.3,11.7,10.3,11.5
Michigan,10.8,11.1,11.7,12.3,11.3,12.9,12.1
Minnesota,7,6.6,7.4,7.6,8.2,7.8,8.1
Missouri,12.9,15.3,18.1,19,21.5,21.5,20.6
Mississippi,16,18.3,19.6,19.9,21.5,22.9,24.2
Montana,16.9,16.1,19.2,18.9,22.5,17.3,19
North Carolina,12.8,11.8,12.5,13.7,13.7,13.3,13.1
North Dakota,8.8,12.3,12.8,11.9,13.2,11.5,12.4
Nebraska,7.7,9.5,8.9,9.1,8.3,9,10.4
New Hampshire,6.6,8.7,8.9,9.3,10.4,10.8,10.7
New Jersey,5.2,5.3,5.4,5.5,5.3,4.8,4.1
New Mexico,13.9,16,18.6,18.1,18.5,20.7,22.3
Nevada,16.1,14.8,14.9,16.8,16.7,17.9,15.3
New York,5.3,4.2,4.2,4.4,3.7,4.1,3.9
Ohio,9.6,10.3,11.9,12.9,13.7,13.1,13.3
Oklahoma,13.2,15.7,18,19.6,17.2,16.8,18.6
Oregon,10.7,11.7,11.4,11.9,12.1,11.7,12.6
Pennsylvania,10.8,10.5,11.4,12,12.5,12.5,11.7
Rhode Island,3.6,3,4.7,4.1,3.9,3.3,4.6
South Carolina,13.8,15.5,17.3,17.7,17.7,17.6,19.9
South Dakota,10.2,10.3,11.1,13.4,11.9,13.6,13.1
Tennessee,16,15.1,16,17.1,18.4,17.8,18.4
Texas,11.1,10.7,11.7,12.1,12.4,12.2,12.7
Utah,10.1,12.3,12.8,12.9,14,13.2,12.8
Virginia,11.5,10.3,10.9,12.1,11.9,11.8,11.7
Vermont,6.8,10.3,9.6,11.1,11.7,12.8,9.3
Washington,8.8,9.7,9.8,9,11.1,10.4,10.7
Wisconsin,8.5,8.2,10.4,11.4,10.6,10.1,10
West Virginia,13.8,14.6,14,17.5,18.6,18.2,16.6
Wyoming,13.4,16.2,19.6,17.4,18.8,21.5,22.3
