,state,totals
1,ALABAMA,5724
2,ALASKA,1038
3,ARIZONA,8203
4,ARKANSAS,2477
5,CALIFORNIA,18504
6,COLORADO,3330
7,CONNECTICUT,451
8,DELAWARE,805
9,DISTRICT OF COLUMBIA,85
10,FLORIDA,15645
11,GEORGIA,12864
12,GUAM & NORTHERN MARIANA ISLANDS,23
13,HAWAII,109
14,IDAHO,1033
15,ILLINOIS,5306
16,INDIANA,7224
17,IOWA,1466
18,KANSAS,2266
19,KENTUCKY,4276
20,LOUISIANA,6645
21,MAINE,495
22,MARYLAND,3487
23,MASSACHUSETTS,678
24,MICHIGAN,4162
25,MINNESOTA,2139
26,MISSISSIPPI,4563
27,MISSOURI,5325
28,MONTANA,839
29,NEBRASKA,969
30,NEVADA,2221
31,NEW HAMPSHIRE,525
32,NEW JERSEY,781
33,NEW MEXICO,1943
34,NEW YORK,2022
35,NORTH CAROLINA,9385
36,NORTH DAKOTA,543
37,OHIO,8755
38,OKLAHOMA,1948
39,OREGON,2671
40,PENNSYLVANIA,7505
41,PUERTO RICO,229
42,RHODE ISLAND,259
43,SOUTH CAROLINA,5350
44,SOUTH DAKOTA,504
45,TENNESSEE,6381
46,TEXAS,19905
47,US VIRGIN ISLANDS,24
48,UTAH,1513
49,VERMONT,267
50,VIRGINIA,9112
51,WASHINGTON,3314
52,WEST VIRGINIA,1927
53,WISCONSIN,3772
54,WYOMING,397
